NLP Query,SQL Query,chart type
Return diploma and cet score comparison if available.,"SELECT diploma, cet FROM students_prev_edu WHERE diploma IS NOT NULL AND cet IS NOT NULL  ",scatter plot
Display expert-level hobby count per hobby please.,"SELECT Hobby, COUNT(*) AS expert_count FROM students_hobby_info WHERE Hobby_level = 'Expert' GROUP BY Hobby  ",bar chart
Give hobby count and gpa comparison please.,"SELECT COUNT(shi.Hobby) AS hobby_count, AVG(CAST(sri.gpa AS FLOAT)) AS avg_gpa FROM students_hobby_info shi JOIN students_result_info sri ON shi.pid = sri.pid GROUP BY shi.pid  ",scatter plot
Display hsc and cet scores if available.,"SELECT hsc, cet FROM students_prev_edu WHERE hsc IS NOT NULL AND cet IS NOT NULL  ",scatter plot
Retrieve expert-level hobby count per hobby please.,"SELECT Hobby, COUNT(*) AS expert_count FROM students_hobby_info WHERE Hobby_level = 'Expert' GROUP BY Hobby  ",bar chart
Display students per hobby category now.,"SELECT ECategory, COUNT(*) AS total FROM students_hobby_info GROUP BY ECategory  ",pie chart
Get distribution of student results.,"SELECT result, COUNT(*) AS total FROM students_result_info GROUP BY result  ",pie chart
Give diploma and cet score comparison now.,"SELECT diploma, cet FROM students_prev_edu WHERE diploma IS NOT NULL AND cet IS NOT NULL  ",scatter plot
Retrieve students per hobby category if available.,"SELECT ECategory, COUNT(*) AS total FROM students_hobby_info GROUP BY ECategory  ",pie chart
Provide hobby count and gpa comparison.,"SELECT COUNT(shi.Hobby) AS hobby_count, AVG(CAST(sri.gpa AS FLOAT)) AS avg_gpa FROM students_hobby_info shi JOIN students_result_info sri ON shi.pid = sri.pid GROUP BY shi.pid  ",scatter plot
Retrieve students passed in each semester now.,"SELECT sri.sem, COUNT(*) AS passed_students FROM students_result_info sri WHERE sri.result = '1' GROUP BY sri.sem  ",bar chart
Get number of students for each admission status.,"SELECT sai.stat, COUNT(*) AS student_count FROM student_admss_info sai GROUP BY sai.stat  ",bar chart
Show average diploma scores by admission year please.,"SELECT sai.acadyear, AVG(spe.diploma) AS avg_diploma FROM students_prev_edu spe JOIN student_admss_info sai ON spe.pid = sai.pid GROUP BY sai.acadyear  ",bar chart
Give distribution of student results in summary.,"SELECT result, COUNT(*) AS total FROM students_result_info GROUP BY result  ",pie chart
Reveal students per hobby category now.,"SELECT ECategory, COUNT(*) AS total FROM students_hobby_info GROUP BY ECategory  ",pie chart
Reveal gpa by admission year now.,"SELECT sai.acadyear, CAST(sri.gpa AS FLOAT) AS gpa FROM students_result_info sri JOIN student_admss_info sai ON sri.pid = sai.pid WHERE sri.gpa IS NOT NULL  ",scatter plot
Retrieve students passed in each semester in summary.,"SELECT sri.sem, COUNT(*) AS passed_students FROM students_result_info sri WHERE sri.result = '1' GROUP BY sri.sem  ",bar chart
Show gpa by admission year please.,"SELECT sai.acadyear, CAST(sri.gpa AS FLOAT) AS gpa FROM students_result_info sri JOIN student_admss_info sai ON sri.pid = sai.pid WHERE sri.gpa IS NOT NULL  ",scatter plot
Get expert-level hobby count per hobby in summary.,"SELECT Hobby, COUNT(*) AS expert_count FROM students_hobby_info WHERE Hobby_level = 'Expert' GROUP BY Hobby  ",bar chart
List semester-wise gpa.,"SELECT sem, CAST(gpa AS FLOAT) AS gpa FROM students_result_info WHERE gpa IS NOT NULL  ",scatter plot
Reveal hsc and cet scores in summary.,"SELECT hsc, cet FROM students_prev_edu WHERE hsc IS NOT NULL AND cet IS NOT NULL  ",scatter plot
Give average gpa per semester as needed.,"SELECT sri.sem, AVG(CAST(sri.gpa AS FLOAT)) AS avg_gpa FROM students_result_info sri GROUP BY sri.sem  ",bar chart
List students passed in each semester if available.,"SELECT sri.sem, COUNT(*) AS passed_students FROM students_result_info sri WHERE sri.result = '1' GROUP BY sri.sem  ",bar chart
Get semester-wise gpa if available.,"SELECT sem, CAST(gpa AS FLOAT) AS gpa FROM students_result_info WHERE gpa IS NOT NULL  ",scatter plot
Return average gpa per semester by group.,"SELECT sri.sem, AVG(CAST(sri.gpa AS FLOAT)) AS avg_gpa FROM students_result_info sri GROUP BY sri.sem  ",bar chart
Return average diploma scores by admission year now.,"SELECT sai.acadyear, AVG(spe.diploma) AS avg_diploma FROM students_prev_edu spe JOIN student_admss_info sai ON spe.pid = sai.pid GROUP BY sai.acadyear  ",bar chart
Give average diploma scores by admission year by group.,"SELECT sai.acadyear, AVG(spe.diploma) AS avg_diploma FROM students_prev_edu spe JOIN student_admss_info sai ON spe.pid = sai.pid GROUP BY sai.acadyear  ",bar chart
Display average diploma scores by admission year if available.,"SELECT sai.acadyear, AVG(spe.diploma) AS avg_diploma FROM students_prev_edu spe JOIN student_admss_info sai ON spe.pid = sai.pid GROUP BY sai.acadyear  ",bar chart
Fetch distribution of student results if available.,"SELECT result, COUNT(*) AS total FROM students_result_info GROUP BY result  ",pie chart
Provide distribution of student results please.,"SELECT result, COUNT(*) AS total FROM students_result_info GROUP BY result  ",pie chart
Get hsc and cet scores.,"SELECT hsc, cet FROM students_prev_edu WHERE hsc IS NOT NULL AND cet IS NOT NULL  ",scatter plot
Get average diploma scores by admission year please.,"SELECT sai.acadyear, AVG(spe.diploma) AS avg_diploma FROM students_prev_edu spe JOIN student_admss_info sai ON spe.pid = sai.pid GROUP BY sai.acadyear  ",bar chart
List distribution of student results in summary.,"SELECT result, COUNT(*) AS total FROM students_result_info GROUP BY result  ",pie chart
Reveal expert-level hobby count per hobby now.,"SELECT Hobby, COUNT(*) AS expert_count FROM students_hobby_info WHERE Hobby_level = 'Expert' GROUP BY Hobby  ",bar chart
Show expert-level hobby count per hobby please.,"SELECT Hobby, COUNT(*) AS expert_count FROM students_hobby_info WHERE Hobby_level = 'Expert' GROUP BY Hobby  ",bar chart
List distribution of student results by group.,"SELECT result, COUNT(*) AS total FROM students_result_info GROUP BY result  ",pie chart
Get hsc and cet scores in summary.,"SELECT hsc, cet FROM students_prev_edu WHERE hsc IS NOT NULL AND cet IS NOT NULL  ",scatter plot
Provide diploma and cet score comparison now.,"SELECT diploma, cet FROM students_prev_edu WHERE diploma IS NOT NULL AND cet IS NOT NULL  ",scatter plot
Retrieve expert-level hobby count per hobby by group.,"SELECT Hobby, COUNT(*) AS expert_count FROM students_hobby_info WHERE Hobby_level = 'Expert' GROUP BY Hobby  ",bar chart
Display hobby count and gpa comparison by group.,"SELECT COUNT(shi.Hobby) AS hobby_count, AVG(CAST(sri.gpa AS FLOAT)) AS avg_gpa FROM students_hobby_info shi JOIN students_result_info sri ON shi.pid = sri.pid GROUP BY shi.pid  ",scatter plot
Return average diploma scores by admission year by group.,"SELECT sai.acadyear, AVG(spe.diploma) AS avg_diploma FROM students_prev_edu spe JOIN student_admss_info sai ON spe.pid = sai.pid GROUP BY sai.acadyear  ",bar chart
Fetch distribution of student results now.,"SELECT result, COUNT(*) AS total FROM students_result_info GROUP BY result  ",pie chart
Reveal hsc and cet scores if available.,"SELECT hsc, cet FROM students_prev_edu WHERE hsc IS NOT NULL AND cet IS NOT NULL  ",scatter plot
Reveal hobby count and gpa comparison in summary.,"SELECT COUNT(shi.Hobby) AS hobby_count, AVG(CAST(sri.gpa AS FLOAT)) AS avg_gpa FROM students_hobby_info shi JOIN students_result_info sri ON shi.pid = sri.pid GROUP BY shi.pid  ",scatter plot
Provide students in each entrance category please.,"SELECT ECategory, COUNT(*) AS count FROM students_hobby_info GROUP BY ECategory  ",pie chart
Get hsc and cet scores by group.,"SELECT hsc, cet FROM students_prev_edu WHERE hsc IS NOT NULL AND cet IS NOT NULL  ",scatter plot
Display gpa by admission year please.,"SELECT sai.acadyear, CAST(sri.gpa AS FLOAT) AS gpa FROM students_result_info sri JOIN student_admss_info sai ON sri.pid = sai.pid WHERE sri.gpa IS NOT NULL ",scatter plot
Return average gpa per semester now.,"SELECT sri.sem, AVG(CAST(sri.gpa AS FLOAT)) AS avg_gpa FROM students_result_info sri GROUP BY sri.sem ",bar chart
Give students in each entrance category.,"SELECT ECategory, COUNT(*) AS count FROM students_hobby_info GROUP BY ECategory ",pie chart
Return semester-wise gpa.,"SELECT sem, CAST(gpa AS FLOAT) AS gpa FROM students_result_info WHERE gpa IS NOT NULL ",scatter plot
