NLP Query,SQL Query,chart type
Get gpa by admission year by group.,"SELECT sai.acadyear, CAST(sri.gpa AS FLOAT) AS gpa FROM students_result_info sri JOIN student_admss_info sai ON sri.pid = sai.pid WHERE sri.gpa IS NOT NULL",scatter plot
Get students passed vs failed as needed.,"SELECT result, COUNT(*) AS count FROM students_result_info WHERE result IN ('0', '1') GROUP BY result",pie chart
Give students in each entrance category now.,"SELECT ECategory, COUNT(*) AS count FROM students_hobby_info GROUP BY ECategory",pie chart
Reveal students in each entrance category now.,"SELECT ECategory, COUNT(*) AS count FROM students_hobby_info GROUP BY ECategory",pie chart
Provide gpa by admission year now.,"SELECT sai.acadyear, CAST(sri.gpa AS FLOAT) AS gpa FROM students_result_info sri JOIN student_admss_info sai ON sri.pid = sai.pid WHERE sri.gpa IS NOT NULL",scatter plot
Display students per hobby category as needed.,"SELECT ECategory, COUNT(*) AS total FROM students_hobby_info GROUP BY ECategory",pie chart
Provide diploma and cet score comparison.,"SELECT diploma, cet FROM students_prev_edu WHERE diploma IS NOT NULL AND cet IS NOT NULL",scatter plot
Retrieve students passed vs failed.,"SELECT result, COUNT(*) AS count FROM students_result_info WHERE result IN ('0', '1') GROUP BY result",pie chart
Show semester-wise gpa.,"SELECT sem, CAST(gpa AS FLOAT) AS gpa FROM students_result_info WHERE gpa IS NOT NULL",scatter plot
Provide students passed in each semester please.,"SELECT sri.sem, COUNT(*) AS passed_students FROM students_result_info sri WHERE sri.result = '1' GROUP BY sri.sem",bar chart
Return average diploma scores by admission year as needed.,"SELECT sai.acadyear, AVG(spe.diploma) AS avg_diploma FROM students_prev_edu spe JOIN student_admss_info sai ON spe.pid = sai.pid GROUP BY sai.acadyear",bar chart
Return average diploma scores by admission year.,"SELECT sai.acadyear, AVG(spe.diploma) AS avg_diploma FROM students_prev_edu spe JOIN student_admss_info sai ON spe.pid = sai.pid GROUP BY sai.acadyear",bar chart
Return students in each entrance category now.,"SELECT ECategory, COUNT(*) AS count FROM students_hobby_info GROUP BY ECategory",pie chart
Fetch students in each entrance category.,"SELECT ECategory, COUNT(*) AS count FROM students_hobby_info GROUP BY ECategory",pie chart
Give students passed in each semester please.,"SELECT sri.sem, COUNT(*) AS passed_students FROM students_result_info sri WHERE sri.result = '1' GROUP BY sri.sem",bar chart
Return average gpa per semester as needed.,"SELECT sri.sem, AVG(CAST(sri.gpa AS FLOAT)) AS avg_gpa FROM students_result_info sri GROUP BY sri.sem",bar chart
Reveal average gpa per semester if available.,"SELECT sri.sem, AVG(CAST(sri.gpa AS FLOAT)) AS avg_gpa FROM students_result_info sri GROUP BY sri.sem",bar chart
Return distribution of student results if available.,"SELECT result, COUNT(*) AS total FROM students_result_info GROUP BY result",pie chart
List students passed vs failed by group.,"SELECT result, COUNT(*) AS count FROM students_result_info WHERE result IN ('0', '1') GROUP BY result",pie chart
Show students passed in each semester now.,"SELECT sri.sem, COUNT(*) AS passed_students FROM students_result_info sri WHERE sri.result = '1' GROUP BY sri.sem",bar chart
Retrieve gpa by admission year if available.,"SELECT sai.acadyear, CAST(sri.gpa AS FLOAT) AS gpa FROM students_result_info sri JOIN student_admss_info sai ON sri.pid = sai.pid WHERE sri.gpa IS NOT NULL",scatter plot
Reveal students passed vs failed now.,"SELECT result, COUNT(*) AS count FROM students_result_info WHERE result IN ('0', '1') GROUP BY result",pie chart
Return students per hobby category by group.,"SELECT ECategory, COUNT(*) AS total FROM students_hobby_info GROUP BY ECategory",pie chart
Get average diploma scores by admission year.,"SELECT sai.acadyear, AVG(spe.diploma) AS avg_diploma FROM students_prev_edu spe JOIN student_admss_info sai ON spe.pid = sai.pid GROUP BY sai.acadyear",bar chart
Return number of students for each admission status as needed.,"SELECT sai.stat, COUNT(*) AS student_count FROM student_admss_info sai GROUP BY sai.stat",bar chart
Display diploma and cet score comparison now.,"SELECT diploma, cet FROM students_prev_edu WHERE diploma IS NOT NULL AND cet IS NOT NULL",scatter plot
List semester-wise gpa as needed.,"SELECT sem, CAST(gpa AS FLOAT) AS gpa FROM students_result_info WHERE gpa IS NOT NULL",scatter plot
Give number of students for each admission status in summary.,"SELECT sai.stat, COUNT(*) AS student_count FROM student_admss_info sai GROUP BY sai.stat",bar chart
List students in each entrance category.,"SELECT ECategory, COUNT(*) AS count FROM students_hobby_info GROUP BY ECategory",pie chart
Reveal students passed in each semester if available.,"SELECT sri.sem, COUNT(*) AS passed_students FROM students_result_info sri WHERE sri.result = '1' GROUP BY sri.sem",bar chart
Display distribution of student results please.,"SELECT result, COUNT(*) AS total FROM students_result_info GROUP BY result",pie chart
Retrieve students passed vs failed if available.,"SELECT result, COUNT(*) AS count FROM students_result_info WHERE result IN ('0', '1') GROUP BY result",pie chart
Reveal diploma and cet score comparison as needed.,"SELECT diploma, cet FROM students_prev_edu WHERE diploma IS NOT NULL AND cet IS NOT NULL",scatter plot
Return hsc and cet scores in summary.,"SELECT hsc, cet FROM students_prev_edu WHERE hsc IS NOT NULL AND cet IS NOT NULL",scatter plot
Reveal students passed vs failed if available.,"SELECT result, COUNT(*) AS count FROM students_result_info WHERE result IN ('0', '1') GROUP BY result",pie chart
Provide hsc and cet scores by group.,"SELECT hsc, cet FROM students_prev_edu WHERE hsc IS NOT NULL AND cet IS NOT NULL",scatter plot
Fetch gpa by admission year by group.,"SELECT sai.acadyear, CAST(sri.gpa AS FLOAT) AS gpa FROM students_result_info sri JOIN student_admss_info sai ON sri.pid = sai.pid WHERE sri.gpa IS NOT NULL",scatter plot
Provide expert-level hobby count per hobby if available.,"SELECT Hobby, COUNT(*) AS expert_count FROM students_hobby_info WHERE Hobby_level = 'Expert' GROUP BY Hobby",bar chart
Provide diploma and cet score comparison in summary.,"SELECT diploma, cet FROM students_prev_edu WHERE diploma IS NOT NULL AND cet IS NOT NULL",scatter plot
Reveal expert-level hobby count per hobby as needed.,"SELECT Hobby, COUNT(*) AS expert_count FROM students_hobby_info WHERE Hobby_level = 'Expert' GROUP BY Hobby",bar chart
Show gpa by admission year in summary.,"SELECT sai.acadyear, CAST(sri.gpa AS FLOAT) AS gpa FROM students_result_info sri JOIN student_admss_info sai ON sri.pid = sai.pid WHERE sri.gpa IS NOT NULL",scatter plot
Provide expert-level hobby count per hobby now.,"SELECT Hobby, COUNT(*) AS expert_count FROM students_hobby_info WHERE Hobby_level = 'Expert' GROUP BY Hobby",bar chart
Retrieve expert-level hobby count per hobby if available.,"SELECT Hobby, COUNT(*) AS expert_count FROM students_hobby_info WHERE Hobby_level = 'Expert' GROUP BY Hobby",bar chart
Give expert-level hobby count per hobby by group.,"SELECT Hobby, COUNT(*) AS expert_count FROM students_hobby_info WHERE Hobby_level = 'Expert' GROUP BY Hobby",bar chart
Fetch average gpa per semester in summary.,"SELECT sri.sem, AVG(CAST(sri.gpa AS FLOAT)) AS avg_gpa FROM students_result_info sri GROUP BY sri.sem",bar chart
Give number of students for each admission status please.,"SELECT sai.stat, COUNT(*) AS student_count FROM student_admss_info sai GROUP BY sai.stat",bar chart
Fetch student count by admission status in summary.,"SELECT stat, COUNT(*) AS count FROM student_admss_info GROUP BY stat",pie chart
Fetch gpa by admission year now.,"SELECT sai.acadyear, CAST(sri.gpa AS FLOAT) AS gpa FROM students_result_info sri JOIN student_admss_info sai ON sri.pid = sai.pid WHERE sri.gpa IS NOT NULL",scatter plot
Retrieve students passed vs failed now.,"SELECT result, COUNT(*) AS count FROM students_result_info WHERE result IN ('0', '1') GROUP BY result",pie chart
Retrieve gpa by admission year please.,"SELECT sai.acadyear, CAST(sri.gpa AS FLOAT) AS gpa FROM students_result_info sri JOIN student_admss_info sai ON sri.pid = sai.pid WHERE sri.gpa IS NOT NULL",scatter plot
Give expert-level hobby count per hobby in summary.,"SELECT Hobby, COUNT(*) AS expert_count FROM students_hobby_info WHERE Hobby_level = 'Expert' GROUP BY Hobby",bar chart
List students in each entrance category by group.,"SELECT ECategory, COUNT(*) AS count FROM students_hobby_info GROUP BY ECategory",pie chart
Give student count by admission status.,"SELECT stat, COUNT(*) AS count FROM student_admss_info GROUP BY stat",pie chart
Provide diploma and cet score comparison as needed.,"SELECT diploma, cet FROM students_prev_edu WHERE diploma IS NOT NULL AND cet IS NOT NULL",scatter plot
Get average gpa per semester as needed.,"SELECT sri.sem, AVG(CAST(sri.gpa AS FLOAT)) AS avg_gpa FROM students_result_info sri GROUP BY sri.sem",bar chart
Provide semester-wise gpa as needed.,"SELECT sem, CAST(gpa AS FLOAT) AS gpa FROM students_result_info WHERE gpa IS NOT NULL",scatter plot
Get distribution of student results by group.,"SELECT result, COUNT(*) AS total FROM students_result_info GROUP BY result",pie chart
Reveal gpa by admission year please.,"SELECT sai.acadyear, CAST(sri.gpa AS FLOAT) AS gpa FROM students_result_info sri JOIN student_admss_info sai ON sri.pid = sai.pid WHERE sri.gpa IS NOT NULL",scatter plot
Retrieve students passed vs failed by group.,"SELECT result, COUNT(*) AS count FROM students_result_info WHERE result IN ('0', '1') GROUP BY result",pie chart
Get students in each entrance category if available.,"SELECT ECategory, COUNT(*) AS count FROM students_hobby_info GROUP BY ECategory",pie chart
Display average diploma scores by admission year in summary.,"SELECT sai.acadyear, AVG(spe.diploma) AS avg_diploma FROM students_prev_edu spe JOIN student_admss_info sai ON spe.pid = sai.pid GROUP BY sai.acadyear",bar chart
Provide average diploma scores by admission year.,"SELECT sai.acadyear, AVG(spe.diploma) AS avg_diploma FROM students_prev_edu spe JOIN student_admss_info sai ON spe.pid = sai.pid GROUP BY sai.acadyear",bar chart
Display expert-level hobby count per hobby if available.,"SELECT Hobby, COUNT(*) AS expert_count FROM students_hobby_info WHERE Hobby_level = 'Expert' GROUP BY Hobby",bar chart
Fetch number of students for each admission status by group.,"SELECT sai.stat, COUNT(*) AS student_count FROM student_admss_info sai GROUP BY sai.stat",bar chart
List students per hobby category if available.,"SELECT ECategory, COUNT(*) AS total FROM students_hobby_info GROUP BY ECategory",pie chart
Fetch distribution of student results.,"SELECT result, COUNT(*) AS total FROM students_result_info GROUP BY result",pie chart
Provide average gpa per semester please.,"SELECT sri.sem, AVG(CAST(sri.gpa AS FLOAT)) AS avg_gpa FROM students_result_info sri GROUP BY sri.sem",bar chart
Display student count by admission status by group.,"SELECT stat, COUNT(*) AS count FROM student_admss_info GROUP BY stat",pie chart
Display expert-level hobby count per hobby now.,"SELECT Hobby, COUNT(*) AS expert_count FROM students_hobby_info WHERE Hobby_level = 'Expert' GROUP BY Hobby",bar chart
Show semester-wise gpa now.,"SELECT sem, CAST(gpa AS FLOAT) AS gpa FROM students_result_info WHERE gpa IS NOT NULL",scatter plot
Reveal semester-wise gpa if available.,"SELECT sem, CAST(gpa AS FLOAT) AS gpa FROM students_result_info WHERE gpa IS NOT NULL",scatter plot
Fetch hobby count and gpa comparison now.,"SELECT COUNT(shi.Hobby) AS hobby_count, AVG(CAST(sri.gpa AS FLOAT)) AS avg_gpa FROM students_hobby_info shi JOIN students_result_info sri ON shi.pid = sri.pid GROUP BY shi.pid",scatter plot
Retrieve hobby count and gpa comparison in summary.,"SELECT COUNT(shi.Hobby) AS hobby_count, AVG(CAST(sri.gpa AS FLOAT)) AS avg_gpa FROM students_hobby_info shi JOIN students_result_info sri ON shi.pid = sri.pid GROUP BY shi.pid",scatter plot
Get number of students for each admission status now.,"SELECT sai.stat, COUNT(*) AS student_count FROM student_admss_info sai GROUP BY sai.stat",bar chart
Retrieve student count by admission status by group.,"SELECT stat, COUNT(*) AS count FROM student_admss_info GROUP BY stat",pie chart
Reveal students passed in each semester in summary.,"SELECT sri.sem, COUNT(*) AS passed_students FROM students_result_info sri WHERE sri.result = '1' GROUP BY sri.sem",bar chart
Fetch student count by admission status now.,"SELECT stat, COUNT(*) AS count FROM student_admss_info GROUP BY stat",pie chart
Return gpa by admission year please.,"SELECT sai.acadyear, CAST(sri.gpa AS FLOAT) AS gpa FROM students_result_info sri JOIN student_admss_info sai ON sri.pid = sai.pid WHERE sri.gpa IS NOT NULL",scatter plot
Get gpa by admission year if available.,"SELECT sai.acadyear, CAST(sri.gpa AS FLOAT) AS gpa FROM students_result_info sri JOIN student_admss_info sai ON sri.pid = sai.pid WHERE sri.gpa IS NOT NULL",scatter plot
Fetch gpa by admission year if available.,"SELECT sai.acadyear, CAST(sri.gpa AS FLOAT) AS gpa FROM students_result_info sri JOIN student_admss_info sai ON sri.pid = sai.pid WHERE sri.gpa IS NOT NULL",scatter plot
Give hsc and cet scores please.,"SELECT hsc, cet FROM students_prev_edu WHERE hsc IS NOT NULL AND cet IS NOT NULL",scatter plot
Give students passed vs failed by group.,"SELECT result, COUNT(*) AS count FROM students_result_info WHERE result IN ('0', '1') GROUP BY result",pie chart
Display gpa by admission year.,"SELECT sai.acadyear, CAST(sri.gpa AS FLOAT) AS gpa FROM students_result_info sri JOIN student_admss_info sai ON sri.pid = sai.pid WHERE sri.gpa IS NOT NULL",scatter plot
List distribution of student results.,"SELECT result, COUNT(*) AS total FROM students_result_info GROUP BY result",pie chart
Provide expert-level hobby count per hobby.,"SELECT Hobby, COUNT(*) AS expert_count FROM students_hobby_info WHERE Hobby_level = 'Expert' GROUP BY Hobby",bar chart
Show expert-level hobby count per hobby as needed.,"SELECT Hobby, COUNT(*) AS expert_count FROM students_hobby_info WHERE Hobby_level = 'Expert' GROUP BY Hobby",bar chart
Get number of students for each admission status if available.,"SELECT sai.stat, COUNT(*) AS student_count FROM student_admss_info sai GROUP BY sai.stat",bar chart
Give number of students for each admission status if available.,"SELECT sai.stat, COUNT(*) AS student_count FROM student_admss_info sai GROUP BY sai.stat",bar chart
Give students per hobby category now.,"SELECT ECategory, COUNT(*) AS total FROM students_hobby_info GROUP BY ECategory",pie chart
Show gpa by admission year now.,"SELECT sai.acadyear, CAST(sri.gpa AS FLOAT) AS gpa FROM students_result_info sri JOIN student_admss_info sai ON sri.pid = sai.pid WHERE sri.gpa IS NOT NULL",scatter plot
List semester-wise gpa by group.,"SELECT sem, CAST(gpa AS FLOAT) AS gpa FROM students_result_info WHERE gpa IS NOT NULL",scatter plot
List hsc and cet scores if available.,"SELECT hsc, cet FROM students_prev_edu WHERE hsc IS NOT NULL AND cet IS NOT NULL",scatter plot
Fetch students per hobby category as needed.,"SELECT ECategory, COUNT(*) AS total FROM students_hobby_info GROUP BY ECategory",pie chart
Show distribution of student results by group.,"SELECT result, COUNT(*) AS total FROM students_result_info GROUP BY result",pie chart
Retrieve number of students for each admission status as needed.,"SELECT sai.stat, COUNT(*) AS student_count FROM student_admss_info sai GROUP BY sai.stat",bar chart
Provide number of students for each admission status by group.,"SELECT sai.stat, COUNT(*) AS student_count FROM student_admss_info sai GROUP BY sai.stat",bar chart
Show students in each entrance category by group.,"SELECT ECategory, COUNT(*) AS count FROM students_hobby_info GROUP BY ECategory",pie chart
List gpa by admission year as needed.,"SELECT sai.acadyear, CAST(sri.gpa AS FLOAT) AS gpa FROM students_result_info sri JOIN student_admss_info sai ON sri.pid = sai.pid WHERE sri.gpa IS NOT NULL",scatter plot
Display average diploma scores by admission year now.,"SELECT sai.acadyear, AVG(spe.diploma) AS avg_diploma FROM students_prev_edu spe JOIN student_admss_info sai ON spe.pid = sai.pid GROUP BY sai.acadyear",bar chart
Reveal students passed in each semester please.,"SELECT sri.sem, COUNT(*) AS passed_students FROM students_result_info sri WHERE sri.result = '1' GROUP BY sri.sem",bar chart
Reveal hsc and cet scores now.,"SELECT hsc, cet FROM students_prev_edu WHERE hsc IS NOT NULL AND cet IS NOT NULL",scatter plot
Fetch student count by admission status by group.,"SELECT stat, COUNT(*) AS count FROM student_admss_info GROUP BY stat",pie chart
List student count by admission status please.,"SELECT stat, COUNT(*) AS count FROM student_admss_info GROUP BY stat",pie chart
Reveal expert-level hobby count per hobby if available.,"SELECT Hobby, COUNT(*) AS expert_count FROM students_hobby_info WHERE Hobby_level = 'Expert' GROUP BY Hobby",bar chart
Retrieve students per hobby category.,"SELECT ECategory, COUNT(*) AS total FROM students_hobby_info GROUP BY ECategory",pie chart
Fetch gpa by admission year please.,"SELECT sai.acadyear, CAST(sri.gpa AS FLOAT) AS gpa FROM students_result_info sri JOIN student_admss_info sai ON sri.pid = sai.pid WHERE sri.gpa IS NOT NULL",scatter plot
Give students per hobby category.,"SELECT ECategory, COUNT(*) AS total FROM students_hobby_info GROUP BY ECategory",pie chart
Give student count by admission status please.,"SELECT stat, COUNT(*) AS count FROM student_admss_info GROUP BY stat",pie chart
Display diploma and cet score comparison if available.,"SELECT diploma, cet FROM students_prev_edu WHERE diploma IS NOT NULL AND cet IS NOT NULL",scatter plot
Retrieve distribution of student results by group.,"SELECT result, COUNT(*) AS total FROM students_result_info GROUP BY result",pie chart
Display average gpa per semester if available.,"SELECT sri.sem, AVG(CAST(sri.gpa AS FLOAT)) AS avg_gpa FROM students_result_info sri GROUP BY sri.sem",bar chart
Get students per hobby category.,"SELECT ECategory, COUNT(*) AS total FROM students_hobby_info GROUP BY ECategory",pie chart
Retrieve diploma and cet score comparison please.,"SELECT diploma, cet FROM students_prev_edu WHERE diploma IS NOT NULL AND cet IS NOT NULL",scatter plot
Reveal gpa by admission year if available.,"SELECT sai.acadyear, CAST(sri.gpa AS FLOAT) AS gpa FROM students_result_info sri JOIN student_admss_info sai ON sri.pid = sai.pid WHERE sri.gpa IS NOT NULL",scatter plot
Give distribution of student results.,"SELECT result, COUNT(*) AS total FROM students_result_info GROUP BY result",pie chart
Get students per hobby category by group.,"SELECT ECategory, COUNT(*) AS total FROM students_hobby_info GROUP BY ECategory",pie chart
Return gpa by admission year now.,"SELECT sai.acadyear, CAST(sri.gpa AS FLOAT) AS gpa FROM students_result_info sri JOIN student_admss_info sai ON sri.pid = sai.pid WHERE sri.gpa IS NOT NULL",scatter plot
Return student count by admission status please.,"SELECT stat, COUNT(*) AS count FROM student_admss_info GROUP BY stat",pie chart
Give hobby count and gpa comparison in summary.,"SELECT COUNT(shi.Hobby) AS hobby_count, AVG(CAST(sri.gpa AS FLOAT)) AS avg_gpa FROM students_hobby_info shi JOIN students_result_info sri ON shi.pid = sri.pid GROUP BY shi.pid",scatter plot
Return hsc and cet scores if available.,"SELECT hsc, cet FROM students_prev_edu WHERE hsc IS NOT NULL AND cet IS NOT NULL",scatter plot
Show gpa by admission year if available.,"SELECT sai.acadyear, CAST(sri.gpa AS FLOAT) AS gpa FROM students_result_info sri JOIN student_admss_info sai ON sri.pid = sai.pid WHERE sri.gpa IS NOT NULL",scatter plot
Fetch average diploma scores by admission year.,"SELECT sai.acadyear, AVG(spe.diploma) AS avg_diploma FROM students_prev_edu spe JOIN student_admss_info sai ON spe.pid = sai.pid GROUP BY sai.acadyear",bar chart
Provide students in each entrance category.,"SELECT ECategory, COUNT(*) AS count FROM students_hobby_info GROUP BY ECategory",pie chart
Return student count by admission status in summary.,"SELECT stat, COUNT(*) AS count FROM student_admss_info GROUP BY stat",pie chart
Give expert-level hobby count per hobby please.,"SELECT Hobby, COUNT(*) AS expert_count FROM students_hobby_info WHERE Hobby_level = 'Expert' GROUP BY Hobby",bar chart
Give diploma and cet score comparison as needed.,"SELECT diploma, cet FROM students_prev_edu WHERE diploma IS NOT NULL AND cet IS NOT NULL",scatter plot
Reveal gpa by admission year by group.,"SELECT sai.acadyear, CAST(sri.gpa AS FLOAT) AS gpa FROM students_result_info sri JOIN student_admss_info sai ON sri.pid = sai.pid WHERE sri.gpa IS NOT NULL",scatter plot
Give student count by admission status now.,"SELECT stat, COUNT(*) AS count FROM student_admss_info GROUP BY stat",pie chart
Display diploma and cet score comparison please.,"SELECT diploma, cet FROM students_prev_edu WHERE diploma IS NOT NULL AND cet IS NOT NULL",scatter plot
Show diploma and cet score comparison please.,"SELECT diploma, cet FROM students_prev_edu WHERE diploma IS NOT NULL AND cet IS NOT NULL",scatter plot
Get hobby count and gpa comparison now.,"SELECT COUNT(shi.Hobby) AS hobby_count, AVG(CAST(sri.gpa AS FLOAT)) AS avg_gpa FROM students_hobby_info shi JOIN students_result_info sri ON shi.pid = sri.pid GROUP BY shi.pid",scatter plot
Fetch expert-level hobby count per hobby by group.,"SELECT Hobby, COUNT(*) AS expert_count FROM students_hobby_info WHERE Hobby_level = 'Expert' GROUP BY Hobby",bar chart
Reveal students passed in each semester by group.,"SELECT sri.sem, COUNT(*) AS passed_students FROM students_result_info sri WHERE sri.result = '1' GROUP BY sri.sem",bar chart
Give gpa by admission year please.,"SELECT sai.acadyear, CAST(sri.gpa AS FLOAT) AS gpa FROM students_result_info sri JOIN student_admss_info sai ON sri.pid = sai.pid WHERE sri.gpa IS NOT NULL",scatter plot
Reveal average diploma scores by admission year as needed.,"SELECT sai.acadyear, AVG(spe.diploma) AS avg_diploma FROM students_prev_edu spe JOIN student_admss_info sai ON spe.pid = sai.pid GROUP BY sai.acadyear",bar chart
List students in each entrance category as needed.,"SELECT ECategory, COUNT(*) AS count FROM students_hobby_info GROUP BY ECategory",pie chart
Retrieve students in each entrance category now.,"SELECT ECategory, COUNT(*) AS count FROM students_hobby_info GROUP BY ECategory",pie chart
Display students per hobby category if available.,"SELECT ECategory, COUNT(*) AS total FROM students_hobby_info GROUP BY ECategory",pie chart
Give expert-level hobby count per hobby now.,"SELECT Hobby, COUNT(*) AS expert_count FROM students_hobby_info WHERE Hobby_level = 'Expert' GROUP BY Hobby",bar chart
Display semester-wise gpa please.,"SELECT sem, CAST(gpa AS FLOAT) AS gpa FROM students_result_info WHERE gpa IS NOT NULL",scatter plot
Get student count by admission status by group.,"SELECT stat, COUNT(*) AS count FROM student_admss_info GROUP BY stat",pie chart
Return students passed vs failed if available.,"SELECT result, COUNT(*) AS count FROM students_result_info WHERE result IN ('0', '1') GROUP BY result",pie chart
List students passed vs failed now.,"SELECT result, COUNT(*) AS count FROM students_result_info WHERE result IN ('0', '1') GROUP BY result",pie chart
Provide gpa by admission year by group.,"SELECT sai.acadyear, CAST(sri.gpa AS FLOAT) AS gpa FROM students_result_info sri JOIN student_admss_info sai ON sri.pid = sai.pid WHERE sri.gpa IS NOT NULL",scatter plot
Retrieve students passed in each semester if available.,"SELECT sri.sem, COUNT(*) AS passed_students FROM students_result_info sri WHERE sri.result = '1' GROUP BY sri.sem",bar chart
Reveal students passed vs failed as needed.,"SELECT result, COUNT(*) AS count FROM students_result_info WHERE result IN ('0', '1') GROUP BY result",pie chart
Display students in each entrance category.,"SELECT ECategory, COUNT(*) AS count FROM students_hobby_info GROUP BY ECategory",pie chart
Show students passed vs failed now.,"SELECT result, COUNT(*) AS count FROM students_result_info WHERE result IN ('0', '1') GROUP BY result",pie chart
Provide average gpa per semester now.,"SELECT sri.sem, AVG(CAST(sri.gpa AS FLOAT)) AS avg_gpa FROM students_result_info sri GROUP BY sri.sem",bar chart
Get average diploma scores by admission year now.,"SELECT sai.acadyear, AVG(spe.diploma) AS avg_diploma FROM students_prev_edu spe JOIN student_admss_info sai ON spe.pid = sai.pid GROUP BY sai.acadyear",bar chart
Reveal semester-wise gpa please.,"SELECT sem, CAST(gpa AS FLOAT) AS gpa FROM students_result_info WHERE gpa IS NOT NULL",scatter plot
Retrieve average gpa per semester by group.,"SELECT sri.sem, AVG(CAST(sri.gpa AS FLOAT)) AS avg_gpa FROM students_result_info sri GROUP BY sri.sem",bar chart
Reveal students per hobby category in summary.,"SELECT ECategory, COUNT(*) AS total FROM students_hobby_info GROUP BY ECategory",pie chart
List number of students for each admission status please.,"SELECT sai.stat, COUNT(*) AS student_count FROM student_admss_info sai GROUP BY sai.stat",bar chart
Provide students passed vs failed in summary.,"SELECT result, COUNT(*) AS count FROM students_result_info WHERE result IN ('0', '1') GROUP BY result",pie chart
Retrieve students per hobby category as needed.,"SELECT ECategory, COUNT(*) AS total FROM students_hobby_info GROUP BY ECategory",pie chart
Fetch distribution of student results in summary.,"SELECT result, COUNT(*) AS total FROM students_result_info GROUP BY result",pie chart
Retrieve diploma and cet score comparison if available.,"SELECT diploma, cet FROM students_prev_edu WHERE diploma IS NOT NULL AND cet IS NOT NULL",scatter plot
Return students passed in each semester please.,"SELECT sri.sem, COUNT(*) AS passed_students FROM students_result_info sri WHERE sri.result = '1' GROUP BY sri.sem",bar chart
Display students per hobby category please.,"SELECT ECategory, COUNT(*) AS total FROM students_hobby_info GROUP BY ECategory",pie chart
Give average gpa per semester if available.,"SELECT sri.sem, AVG(CAST(sri.gpa AS FLOAT)) AS avg_gpa FROM students_result_info sri GROUP BY sri.sem",bar chart
Display students in each entrance category now.,"SELECT ECategory, COUNT(*) AS count FROM students_hobby_info GROUP BY ECategory",pie chart
Retrieve diploma and cet score comparison in summary.,"SELECT diploma, cet FROM students_prev_edu WHERE diploma IS NOT NULL AND cet IS NOT NULL",scatter plot
List students passed in each semester as needed.,"SELECT sri.sem, COUNT(*) AS passed_students FROM students_result_info sri WHERE sri.result = '1' GROUP BY sri.sem",bar chart
Fetch students per hobby category.,"SELECT ECategory, COUNT(*) AS total FROM students_hobby_info GROUP BY ECategory",pie chart
Give students passed vs failed now.,"SELECT result, COUNT(*) AS count FROM students_result_info WHERE result IN ('0', '1') GROUP BY result",pie chart
Give average gpa per semester by group.,"SELECT sri.sem, AVG(CAST(sri.gpa AS FLOAT)) AS avg_gpa FROM students_result_info sri GROUP BY sri.sem",bar chart
Give gpa by admission year as needed.,"SELECT sai.acadyear, CAST(sri.gpa AS FLOAT) AS gpa FROM students_result_info sri JOIN student_admss_info sai ON sri.pid = sai.pid WHERE sri.gpa IS NOT NULL",scatter plot
List hobby count and gpa comparison now.,"SELECT COUNT(shi.Hobby) AS hobby_count, AVG(CAST(sri.gpa AS FLOAT)) AS avg_gpa FROM students_hobby_info shi JOIN students_result_info sri ON shi.pid = sri.pid GROUP BY shi.pid",scatter plot
Display gpa by admission year as needed.,"SELECT sai.acadyear, CAST(sri.gpa AS FLOAT) AS gpa FROM students_result_info sri JOIN student_admss_info sai ON sri.pid = sai.pid WHERE sri.gpa IS NOT NULL",scatter plot
Return semester-wise gpa now.,"SELECT sem, CAST(gpa AS FLOAT) AS gpa FROM students_result_info WHERE gpa IS NOT NULL",scatter plot
Provide student count by admission status please.,"SELECT stat, COUNT(*) AS count FROM student_admss_info GROUP BY stat",pie chart
Return gpa by admission year.,"SELECT sai.acadyear, CAST(sri.gpa AS FLOAT) AS gpa FROM students_result_info sri JOIN student_admss_info sai ON sri.pid = sai.pid WHERE sri.gpa IS NOT NULL",scatter plot
Display hobby count and gpa comparison now.,"SELECT COUNT(shi.Hobby) AS hobby_count, AVG(CAST(sri.gpa AS FLOAT)) AS avg_gpa FROM students_hobby_info shi JOIN students_result_info sri ON shi.pid = sri.pid GROUP BY shi.pid",scatter plot
Show number of students for each admission status now.,"SELECT sai.stat, COUNT(*) AS student_count FROM student_admss_info sai GROUP BY sai.stat",bar chart
Show hsc and cet scores please.,"SELECT hsc, cet FROM students_prev_edu WHERE hsc IS NOT NULL AND cet IS NOT NULL",scatter plot
Retrieve number of students for each admission status by group.,"SELECT sai.stat, COUNT(*) AS student_count FROM student_admss_info sai GROUP BY sai.stat",bar chart
Provide number of students for each admission status now.,"SELECT sai.stat, COUNT(*) AS student_count FROM student_admss_info sai GROUP BY sai.stat",bar chart
Display semester-wise gpa.,"SELECT sem, CAST(gpa AS FLOAT) AS gpa FROM students_result_info WHERE gpa IS NOT NULL",scatter plot
Return gpa by admission year as needed.,"SELECT sai.acadyear, CAST(sri.gpa AS FLOAT) AS gpa FROM students_result_info sri JOIN student_admss_info sai ON sri.pid = sai.pid WHERE sri.gpa IS NOT NULL",scatter plot
Reveal average gpa per semester.,"SELECT sri.sem, AVG(CAST(sri.gpa AS FLOAT)) AS avg_gpa FROM students_result_info sri GROUP BY sri.sem",bar chart
